id;name;price;distance;description
1;Supervisor Berkshire;24124;20839;Flats Bedfordshire knowledge
2;Lao De-engineered turn-key;21064;98451;convergence York
3;integrated Concrete;30317;74546;Sausages Credit
4;Delaware;10279;5278;withdrawal
5;purple back;82821;4930;program District
6;Spain;3682;35283;virtual Agent
7;Quality Directives;71182;33895;deposit Tools Corporate
8;Generic IB York;46749;45253;ivory Paradigm
9;exuding Digitized Orchard;36749;79527;context-sensitive
10;directional applications;77110;29988;expedite
